states,avg_student_rate,free_lunch_eligible
alabama,96,356929
alaska,81.85714286,42028
arizona,89.05263158,374905
arkansas,93.28571429,246451
california,90.0326087,2848583
colorado,77,279259
connecticut,88.42857143,162823
delaware,89.5,54057
district of columbia,86.6,46183
florida,93.04225352,1287000
georgia,91.84615385,850161
hawaii,91.33333333,65273
idaho,79.33333333,99557
illinois,83.4,811915
indiana,89.14285714,405045
iowa,93.33333333,149977
kansas,93.16666667,179931
kentucky,85,329897
louisiana,88.5,412684
maine,92.16666667,66458
maryland,91.09090909,285041
massachusetts,92.16666667,277919
michigan,81.42857143,636380
minnesota,89.10526316,239221
mississippi,94,309581
missouri,86.53125,342715
montana,80.66666667,46116
nebraska,92.85714286,100563
nevada,98.1,190854
new hampshire,93.85714286,38659
new jersey,91,370531
new mexico,94.55555556,206414
new york,73.44,1123040
north carolina,88.25,633440
north dakota,,22988
ohio,91.37142857,646984
oklahoma,90.6,337536
oregon,87.16666667,240711
pennsylvania,78.19298246,584251
rhode island,86,52839
south carolina,90.42105263,350202
south dakota,95.5,36573
tennessee,89.83333333,471483
texas,86.29166667,2148558
utah,91.57142857,180183
vermont,94.6,25757
virginia,82.44444444,384744
washington,85.33333333,345382
west virginia,95.6,124111
wisconsin,51.36363636,289759
wyoming,90.33333333,24216
