states,avg_teacher_rate,free_lunch_eligible
alabama,93.38461538,356929
alaska,91,42028
arizona,93.68421053,374905
arkansas,89,246451
california,89.85869565,2848583
colorado,76.80952381,279259
connecticut,87.85714286,162823
delaware,,54057
district of columbia,89.8,46183
florida,92.76056338,1287000
georgia,93.88461538,850161
hawaii,91.33333333,65273
idaho,80,99557
illinois,84.8,811915
indiana,94.85714286,405045
iowa,92.66666667,149977
kansas,92.66666667,179931
kentucky,,329897
louisiana,93.5,412684
maine,96.16666667,66458
maryland,89.90909091,285041
massachusetts,,277919
michigan,85.92857143,636380
minnesota,95.26315789,239221
mississippi,90,309581
missouri,87.15625,342715
montana,89,46116
nebraska,93.57142857,100563
nevada,98.9,190854
new hampshire,89.57142857,38659
new jersey,95.1,370531
new mexico,95.55555556,206414
new york,50.2,1123040
north carolina,,633440
north dakota,,22988
ohio,90.68571429,646984
oklahoma,93.6,337536
oregon,95.08333333,240711
pennsylvania,83.03508772,584251
rhode island,,52839
south carolina,88.94736842,350202
south dakota,92.5,36573
tennessee,95.75,471483
texas,92.60416667,2148558
utah,96.57142857,180183
vermont,94.6,25757
virginia,83.83333333,384744
washington,88.38888889,345382
west virginia,92.2,124111
wisconsin,57.90909091,289759
wyoming,,24216
