states,avg_teacher_rate,individualized_education_programs
alabama,93.38461538,81216
alaska,91,18048
arizona,93.68421053,125806
arkansas,89,64883
california,89.85869565,662508
colorado,76.80952381,84710
connecticut,87.85714286,68130
delaware,,18608
district of columbia,89.8,11947
florida,92.76056338,366824
georgia,93.88461538,177536
hawaii,91.33333333,19716
idaho,80,27365
illinois,84.8,303092
indiana,94.85714286,165802
iowa,92.66666667,68498
kansas,92.66666667,66851
kentucky,,102370
louisiana,93.5,82934
maine,96.16666667,29502
maryland,89.90909091,102818
massachusetts,,167323
michigan,85.92857143,217213
minnesota,95.26315789,122850
mississippi,90,63786
missouri,87.15625,127148
montana,89,16760
nebraska,93.57142857,44299
nevada,98.9,48078
new hampshire,89.57142857,29778
new jersey,95.1,225471
new mexico,95.55555556,46612
new york,50.2,452551
north carolina,,184704
north dakota,,13097
ohio,90.68571429,259448
oklahoma,93.6,97247
oregon,95.08333333,80283
pennsylvania,83.03508772,295077
rhode island,,25332
south carolina,88.94736842,100262
south dakota,92.5,18026
tennessee,95.75,119004
texas,92.60416667,441987
utah,96.57142857,70232
vermont,94.6,13562
virginia,83.83333333,162338
washington,88.38888889,127909
west virginia,92.2,44924
wisconsin,57.90909091,124721
wyoming,,15231
