states,avg_teacher_rate,state_funding_per_pupil
alabama,93.38461538,"$9,236 "
alaska,91,"$17,510 "
arizona,93.68421053,"$7,613 "
arkansas,89,"$9,846 "
california,89.85869565,"$11,495 "
colorado,76.80952381,"$9,575 "
connecticut,87.85714286,"$18,958 "
delaware,,"$14,713 "
district of columbia,89.8,"$19,159 "
florida,92.76056338,"$8,920 "
georgia,93.88461538,"$9,769 "
hawaii,91.33333333,"$13,748 "
idaho,80,"$7,157 "
illinois,84.8,"$14,180 "
indiana,94.85714286,"$9,856 "
iowa,92.66666667,"$11,150 "
kansas,92.66666667,"$9,960 "
kentucky,,"$9,863 "
louisiana,93.5,"$11,038 "
maine,96.16666667,"$13,278 "
maryland,89.90909091,"$14,206 "
massachusetts,,"$15,593 "
michigan,85.92857143,"$11,668 "
minnesota,95.26315789,"$12,382 "
mississippi,90,"$8,702 "
missouri,87.15625,"$10,313 "
montana,89,"$11,348 "
nebraska,93.57142857,"$12,299 "
nevada,98.9,"$8,960 "
new hampshire,89.57142857,"$15,340 "
new jersey,95.1,"$18,402 "
new mexico,95.55555556,"$9,693 "
new york,50.2,"$22,366 "
north carolina,,"$8,792 "
north dakota,,"$13,373 "
ohio,90.68571429,"$12,102 "
oklahoma,93.6,"$8,097 "
oregon,95.08333333,"$10,842 "
pennsylvania,83.03508772,"$15,418 "
rhode island,,"$15,532 "
south carolina,88.94736842,"$10,249 "
south dakota,92.5,"$9,176 "
tennessee,95.75,"$8,810 "
texas,92.60416667,"$9,016 "
utah,96.57142857,"$11,762 "
vermont,94.6,"$6,953 "
virginia,83.83333333,"$17,873 "
washington,88.38888889,"$11,432 "
west virginia,92.2,"$11,534 "
wisconsin,57.90909091,"$11,291 "
wyoming,,"$11,456 "
