avg_teacher_rate,avg_student_rate
93.38461538,96
91,81.85714286
93.68421053,89.05263158
89,93.28571429
89.85869565,90.0326087
76.80952381,77
87.85714286,88.42857143
,89.5
89.8,86.6
92.76056338,93.04225352
93.88461538,91.84615385
91.33333333,91.33333333
80,79.33333333
84.8,83.4
94.85714286,89.14285714
92.66666667,93.33333333
92.66666667,93.16666667
,85
93.5,88.5
96.16666667,92.16666667
89.90909091,91.09090909
,92.16666667
85.92857143,81.42857143
95.26315789,89.10526316
90,94
87.15625,86.53125
89,80.66666667
93.57142857,92.85714286
98.9,98.1
89.57142857,93.85714286
95.1,91
95.55555556,94.55555556
50.2,73.44
,88.25
,
90.68571429,91.37142857
93.6,90.6
95.08333333,87.16666667
83.03508772,78.19298246
,86
88.94736842,90.42105263
92.5,95.5
95.75,89.83333333
92.60416667,86.29166667
96.57142857,91.57142857
94.6,94.6
83.83333333,82.44444444
88.38888889,85.33333333
92.2,95.6
57.90909091,51.36363636
,90.33333333
